Body
Date,Weight,BMI,Fat
"2015-06-01","172","25.42","0"
"2015-06-02","172","25.42","0"
"2015-06-03","172","25.42","0"
"2015-06-04","172","25.42","0"
"2015-06-05","172","25.42","0"
"2015-06-06","172","25.42","0"
"2015-06-07","172","25.42","0"
"2015-06-08","172","25.42","0"
"2015-06-09","172","25.42","0"
"2015-06-10","172","25.42","0"
"2015-06-11","172","25.42","0"
"2015-06-12","172","25.42","0"
"2015-06-13","172","25.42","0"
"2015-06-14","172","25.42","0"
"2015-06-15","172","25.42","0"
"2015-06-16","172","25.42","0"
"2015-06-17","172","25.42","0"
"2015-06-18","172","25.42","0"
"2015-06-19","172","25.42","0"
"2015-06-20","172","25.42","0"
"2015-06-21","172","25.42","0"
"2015-06-22","172","25.42","0"
"2015-06-23","172","25.42","0"
"2015-06-24","172","25.42","0"
"2015-06-25","172","25.42","0"
"2015-06-26","172","25.42","0"
"2015-06-27","172","25.42","0"
"2015-06-28","172","25.42","0"
"2015-06-29","172","25.42","0"
"2015-06-30","171.25","25.31","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-06-01","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-02","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-03","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-04","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-05","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-06","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-07","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-08","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-09","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-10","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-11","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-12","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-13","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-14","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-15","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-16","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-17","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-18","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-19","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-20","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-21","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-22","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-23","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-24","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-25","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-26","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-27","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-28","1,618","0","0","0","1,440","0","0","0","0"
"2015-06-29","1,649","220","0.1","0","1,428","12","0","0","39"
"2015-06-30","2,153","5,474","2.47","0","1,166","168","0","0","645"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-06-01","0","0","0","0"
"2015-06-02","0","0","0","0"
"2015-06-03","0","0","0","0"
"2015-06-04","0","0","0","0"
"2015-06-05","0","0","0","0"
"2015-06-06","0","0","0","0"
"2015-06-07","0","0","0","0"
"2015-06-08","0","0","0","0"
"2015-06-09","0","0","0","0"
"2015-06-10","0","0","0","0"
"2015-06-11","0","0","0","0"
"2015-06-12","0","0","0","0"
"2015-06-13","0","0","0","0"
"2015-06-14","0","0","0","0"
"2015-06-15","0","0","0","0"
"2015-06-16","0","0","0","0"
"2015-06-17","0","0","0","0"
"2015-06-18","0","0","0","0"
"2015-06-19","0","0","0","0"
"2015-06-20","0","0","0","0"
"2015-06-21","0","0","0","0"
"2015-06-22","0","0","0","0"
"2015-06-23","0","0","0","0"
"2015-06-24","0","0","0","0"
"2015-06-25","0","0","0","0"
"2015-06-26","0","0","0","0"
"2015-06-27","0","0","0","0"
"2015-06-28","0","0","0","0"
"2015-06-29","0","0","0","0"
"2015-06-30","0","0","0","0"

