Body
Date,Weight,BMI,Fat
"2015-07-01","171.91","25.4","0"
"2015-07-02","171.86","25.4","0"
"2015-07-03","171.82","25.39","0"
"2015-07-04","171.77","25.38","0"
"2015-07-05","171.73","25.38","0"
"2015-07-06","171.69","25.37","0"
"2015-07-07","171.64","25.37","0"
"2015-07-08","171.6","25.36","0"
"2015-07-09","171.55","25.35","0"
"2015-07-10","171.51","25.35","0"
"2015-07-11","171.47","25.34","0"
"2015-07-12","171.42","25.33","0"
"2015-07-13","171.38","25.33","0"
"2015-07-14","171.33","25.32","0"
"2015-07-15","171.29","25.31","0"
"2015-07-16","171.25","25.31","0"
"2015-07-17","171.2","25.3","0"
"2015-07-18","171.16","25.29","0"
"2015-07-19","171.11","25.29","0"
"2015-07-20","171.07","25.28","0"
"2015-07-21","171.03","25.27","0"
"2015-07-22","170.98","25.27","0"
"2015-07-23","170.94","25.26","0"
"2015-07-24","170.89","25.25","0"
"2015-07-25","170.85","25.25","0"
"2015-07-26","170.8","25.24","0"
"2015-07-27","170.76","25.23","0"
"2015-07-28","170.72","25.23","0"
"2015-07-29","170.67","25.22","0"
"2015-07-30","170.63","25.22","0"
"2015-07-31","170.58","25.21","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-07-01","2,347","8,425","3.81","0","652","145","6","52","887"
"2015-07-02","2,309","7,149","3.23","0","752","189","18","17","860"
"2015-07-03","2,305","5,228","2.46","0","681","138","13","34","831"
"2015-07-04","2,511","10,236","4.62","0","636","205","5","51","1,104"
"2015-07-05","2,818","13,690","6.46","0","596","199","17","83","1,465"
"2015-07-06","2,288","7,211","3.26","0","656","161","11","35","829"
"2015-07-07","2,301","7,739","3.5","0","736","151","12","31","819"
"2015-07-08","2,518","8,761","3.96","0","704","200","18","33","1,092"
"2015-07-09","2,219","6,661","3.01","0","792","136","6","26","711"
"2015-07-10","2,389","9,086","4.1","0","733","137","43","28","906"
"2015-07-11","2,178","5,255","2.37","0","383","201","7","0","721"
"2015-07-12","2,732","11,837","5.61","0","560","192","42","56","1,374"
"2015-07-13","2,323","8,657","3.91","0","874","124","24","34","833"
"2015-07-14","2,383","9,539","4.31","0","937","128","18","48","906"
"2015-07-15","2,216","6,332","2.94","0","700","157","2","13","708"
"2015-07-16","2,060","4,313","1.95","0","746","147","0","0","535"
"2015-07-17","2,156","4,961","2.24","0","740","181","0","0","647"
"2015-07-18","2,452","10,441","4.72","0","733","192","6","25","1,011"
"2015-07-19","2,061","4,110","1.86","0","631","156","0","0","544"
"2015-07-20","2,234","6,649","3.02","0","717","154","16","18","746"
"2015-07-21","1,999","3,708","1.68","0","677","98","13","3","434"
"2015-07-22","2,574","12,334","6.09","0","794","164","25","41","1,123"
"2015-07-23","2,169","6,179","2.79","0","709","134","2","17","646"
"2015-07-24","2,540","10,987","5.05","0","756","213","21","31","1,141"
"2015-07-25","2,212","5,856","2.65","0","720","147","32","18","775"
"2015-07-26","2,321","7,214","3.26","0","569","251","17","0","947"
"2015-07-27","2,523","9,989","4.51","0","689","142","67","29","1,090"
"2015-07-28","2,297","8,530","3.85","0","758","99","23","39","783"
"2015-07-29","2,273","6,930","3.13","0","744","149","32","9","801"
"2015-07-30","2,906","11,703","5.29","0","619","227","6","78","1,557"
"2015-07-31","2,340","8,471","3.83","0","720","165","6","34","880"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-07-01","493","43","14","566"
"2015-07-02","453","32","13","492"
"2015-07-03","444","52","13","516"
"2015-07-04","381","47","14","454"
"2015-07-05","386","23","5","416"
"2015-07-06","429","29","11","507"
"2015-07-07","457","48","13","526"
"2015-07-08","348","40","13","426"
"2015-07-09","476","49","17","536"
"2015-07-10","467","106","24","590"
"2015-07-11","474","26","12","513"
"2015-07-12","472","64","18","548"
"2015-07-13","457","42","12","518"
"2015-07-14","197","3","3","213"
"2015-07-15","494","37","15","555"
"2015-07-16","354","50","12","420"
"2015-07-17","424","55","15","491"
"2015-07-18","578","43","13","656"
"2015-07-19","427","45","9","486"
"2015-07-20","500","40","13","580"
"2015-07-21","563","87","18","660"
"2015-07-22","395","59","10","495"
"2015-07-23","383","28","8","459"
"2015-07-24","464","86","21","569"
"2015-07-25","389","25","5","421"
"2015-07-26","447","40","11","523"
"2015-07-27","475","32","21","514"
"2015-07-28","407","55","24","469"
"2015-07-29","496","33","20","550"
"2015-07-30","400","64","21","472"
"2015-07-31","469","46","27","551"

