Body
Date,Weight,BMI,Fat
"2015-08-01","171.12","25.29","0"
"2015-08-02","171.1","25.28","0"
"2015-08-03","171.07","25.28","0"
"2015-08-04","171.04","25.28","0"
"2015-08-05","171.02","25.27","0"
"2015-08-06","170.99","25.27","0"
"2015-08-07","170.96","25.26","0"
"2015-08-08","170.94","25.26","0"
"2015-08-09","170.91","25.26","0"
"2015-08-10","170.88","25.25","0"
"2015-08-11","170.86","25.25","0"
"2015-08-12","170.83","25.25","0"
"2015-08-13","170.8","25.24","0"
"2015-08-14","170.78","25.24","0"
"2015-08-15","170.75","25.23","0"
"2015-08-16","170.73","25.23","0"
"2015-08-17","170.7","25.23","0"
"2015-08-18","170.67","25.22","0"
"2015-08-19","170.65","25.22","0"
"2015-08-20","170.62","25.21","0"
"2015-08-21","170.59","25.21","0"
"2015-08-22","170.57","25.21","0"
"2015-08-23","170.54","25.2","0"
"2015-08-24","170.5","25.2","0"
"2015-08-25","172","25.42","0"
"2015-08-26","172","25.42","0"
"2015-08-27","172","25.42","0"
"2015-08-28","172","25.42","0"
"2015-08-29","172","25.42","0"
"2015-08-30","172","25.42","0"
"2015-08-31","172","25.42","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-08-01","2,306","5,916","2.69","0","733","220","31","0","891"
"2015-08-02","2,708","12,201","5.61","0","657","186","46","63","1,357"
"2015-08-03","2,139","5,972","2.7","0","808","109","11","17","598"
"2015-08-04","2,026","3,913","1.77","0","786","132","0","0","483"
"2015-08-05","2,618","12,126","5.58","0","758","222","32","36","1,245"
"2015-08-06","2,752","15,110","6.83","0","731","144","53","87","1,387"
"2015-08-07","3,015","19,101","8.63","0","957","221","90","78","1,785"
"2015-08-08","2,395","8,352","3.77","0","763","251","13","9","1,014"
"2015-08-09","2,040","2,629","1.19","0","1,093","134","20","0","528"
"2015-08-10","2,598","8,374","3.8","0","716","154","18","54","1,163"
"2015-08-11","2,377","7,998","3.61","0","576","203","2","40","963"
"2015-08-12","2,392","8,235","3.72","0","695","147","8","50","923"
"2015-08-13","2,075","5,120","2.31","0","776","123","17","4","564"
"2015-08-14","2,095","4,675","2.11","0","862","150","11","0","586"
"2015-08-15","2,426","9,894","4.47","0","1,220","170","5","45","988"
"2015-08-16","2,244","4,870","2.2","0","652","186","25","10","789"
"2015-08-17","2,126","3,785","1.71","0","628","160","20","0","637"
"2015-08-18","2,281","7,506","3.39","0","695","167","3","16","787"
"2015-08-19","2,449","9,128","4.12","0","667","122","6","66","970"
"2015-08-20","2,453","8,820","3.98","0","667","134","4","60","976"
"2015-08-21","2,129","4,193","1.89","0","641","136","39","0","642"
"2015-08-22","2,551","9,570","4.32","0","687","286","37","1","1,180"
"2015-08-23","2,585","9,813","4.79","0","594","173","11","51","1,173"
"2015-08-24","2,180","5,341","2.41","0","783","195","0","0","696"
"2015-08-25","2,219","6,036","2.73","0","733","152","2","18","693"
"2015-08-26","2,327","7,400","3.34","0","778","190","11","19","862"
"2015-08-27","2,215","6,126","2.77","0","779","157","1","16","694"
"2015-08-28","2,790","14,619","6.6","0","668","196","66","57","1,433"
"2015-08-29","2,928","17,828","8.05","0","674","199","87","45","1,602"
"2015-08-30","2,450","10,130","4.58","0","600","156","55","34","1,049"
"2015-08-31","2,135","4,543","2.05","0","661","168","0","0","603"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-08-01","446","50","23","498"
"2015-08-02","336","19","12","367"
"2015-08-03","446","48","19","497"
"2015-08-04","458","24","14","496"
"2015-08-05","436","29","25","489"
"2015-08-06","423","40","18","473"
"2015-08-07","0","0","0","0"
"2015-08-08","438","54","25","498"
"2015-08-09","0","0","0","0"
"2015-08-10","558","42","20","653"
"2015-08-11","448","78","26","537"
"2015-08-12","507","41","24","560"
"2015-08-13","467","38","26","530"
"2015-08-14","421","80","37","507"
"2015-08-15","0","0","0","0"
"2015-08-16","341","32","14","397"
"2015-08-17","561","59","27","637"
"2015-08-18","496","61","24","580"
"2015-08-19","511","85","27","606"
"2015-08-20","480","67","24","558"
"2015-08-21","550","16","14","584"
"2015-08-22","526","73","30","603"
"2015-08-23","450","24","11","476"
"2015-08-24","417","37","19","462"
"2015-08-25","459","58","23","547"
"2015-08-26","447","55","26","517"
"2015-08-27","406","14","9","426"
"2015-08-28","455","50","25","528"
"2015-08-29","380","30","13","410"
"2015-08-30","420","53","20","487"
"2015-08-31","525","44","19","598"

