Body
Date,Weight,BMI,Fat
"2015-09-01","172","25.42","0"
"2015-09-02","172","25.42","0"
"2015-09-03","172","25.42","0"
"2015-09-04","172","25.42","0"
"2015-09-05","172","25.42","0"
"2015-09-06","172","25.42","0"
"2015-09-07","172","25.42","0"
"2015-09-08","172","25.42","0"
"2015-09-09","172","25.42","0"
"2015-09-10","172","25.42","0"
"2015-09-11","172","25.42","0"
"2015-09-12","172","25.42","0"
"2015-09-13","172","25.42","0"
"2015-09-14","172","25.42","0"
"2015-09-15","172","25.42","0"
"2015-09-16","172","25.42","0"
"2015-09-17","172","25.42","0"
"2015-09-18","172","25.42","0"
"2015-09-19","172","25.42","0"
"2015-09-20","172","25.42","0"
"2015-09-21","172","25.42","0"
"2015-09-22","172","25.42","0"
"2015-09-23","172","25.42","0"
"2015-09-24","172","25.42","0"
"2015-09-25","172","25.42","0"
"2015-09-26","172","25.42","0"
"2015-09-27","172","25.42","0"
"2015-09-28","172","25.42","0"
"2015-09-29","172","25.42","0"
"2015-09-30","172","25.42","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-09-01","2,318","8,038","3.63","0","791","140","8","36","817"
"2015-09-02","1,948","3,431","1.55","0","1,187","76","20","5","397"
"2015-09-03","2,000","3,261","1.47","0","717","128","0","0","448"
"2015-09-04","2,051","3,589","1.62","0","790","142","7","1","518"
"2015-09-05","2,334","8,281","3.74","0","821","168","35","9","873"
"2015-09-06","2,099","3,428","1.55","0","862","138","21","0","567"
"2015-09-07","2,200","5,420","2.45","0","650","153","2","22","701"
"2015-09-08","2,442","8,270","3.74","0","702","124","23","50","954"
"2015-09-09","2,201","6,229","2.82","0","844","146","2","19","688"
"2015-09-10","1,918","2,263","1.02","0","1,330","82","0","0","295"
"2015-09-11","2,225","5,253","2.37","0","658","224","0","0","768"
"2015-09-12","2,661","13,473","6.09","0","841","159","39","67","1,266"
"2015-09-13","3,164","17,364","7.84","0","544","172","38","66","1,305"
"2015-09-14","2,315","7,371","3.33","0","693","190","11","17","854"
"2015-09-15","2,574","11,911","5.38","0","673","209","69","18","1,238"
"2015-09-16","1,797","2,545","1.15","0","1,393","35","10","2","227"
"2015-09-17","2,292","9,661","4.36","0","1,274","74","55","37","836"
"2015-09-18","1,753","1,478","0.67","0","1,404","36","0","0","150"
"2015-09-19","1,905","3,402","1.54","0","1,327","98","0","0","384"
"2015-09-20","2,119","5,264","2.38","0","672","139","30","0","621"
"2015-09-21","2,353","8,156","3.68","0","758","197","5","17","891"
"2015-09-22","2,397","7,709","3.48","0","627","171","2","47","957"
"2015-09-23","2,285","7,586","3.43","0","671","135","3","33","767"
"2015-09-24","2,212","6,600","2.98","0","724","136","13","17","697"
"2015-09-25","2,193","5,997","2.71","0","780","142","1","17","659"
"2015-09-26","2,078","4,656","2.1","0","881","128","3","6","540"
"2015-09-27","2,719","14,568","6.58","0","664","161","21","93","1,355"
"2015-09-28","2,225","6,523","2.95","0","695","146","1","19","700"
"2015-09-29","2,074","4,328","1.96","0","741","119","2","7","498"
"2015-09-30","2,333","8,230","3.72","0","741","163","20","18","851"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-09-01","527","53","27","611"
"2015-09-02","0","0","0","0"
"2015-09-03","545","55","23","619"
"2015-09-04","442","47","24","523"
"2015-09-05","450","46","20","496"
"2015-09-06","380","19","13","435"
"2015-09-07","448","55","27","519"
"2015-09-08","450","59","22","520"
"2015-09-09","484","45","24","544"
"2015-09-10","0","0","0","0"
"2015-09-11","527","55","26","586"
"2015-09-12","241","16","12","273"
"2015-09-13","419","56","22","481"
"2015-09-14","539","69","29","609"
"2015-09-15","523","59","27","591"
"2015-09-16","0","0","0","0"
"2015-09-17","0","0","0","0"
"2015-09-18","0","0","0","0"
"2015-09-19","0","0","0","0"
"2015-09-20","478","60","33","587"
"2015-09-21","415","26","11","458"
"2015-09-22","533","60","33","603"
"2015-09-23","450","20","14","485"
"2015-09-24","505","73","28","585"
"2015-09-25","491","43","19","537"
"2015-09-26","216","24","11","242"
"2015-09-27","370","94","49","471"
"2015-09-28","430","45","25","495"
"2015-09-29","469","53","27","537"
"2015-09-30","570","58","31","641"

